TimeStamp,ChargingStatus,CurrentLevel,_time
1666002579,1,76,2022-10-17 15:59:39+05:30
1666002578,1,76,2022-10-17 15:59:38+05:30
1666002577,1,76,2022-10-17 15:59:37+05:30
1666002576,1,76,2022-10-17 15:59:36+05:30
1666002575,1,76,2022-10-17 15:59:35+05:30
1666002574,1,76,2022-10-17 15:59:34+05:30
1666002573,1,76,2022-10-17 15:59:33+05:30
1666002572,1,76,2022-10-17 15:59:32+05:30
1666002571,1,76,2022-10-17 15:59:31+05:30
1666002570,1,76,2022-10-17 15:59:30+05:30
1666002569,1,76,2022-10-17 15:59:29+05:30
1666002568,1,76,2022-10-17 15:59:28+05:30
1666002567,1,76,2022-10-17 15:59:27+05:30
1666002566,1,76,2022-10-17 15:59:26+05:30
1666002565,1,76,2022-10-17 15:59:25+05:30
1666002564,1,76,2022-10-17 15:59:24+05:30
1666002563,1,76,2022-10-17 15:59:23+05:30
1666002562,1,76,2022-10-17 15:59:22+05:30
1666002561,1,76,2022-10-17 15:59:21+05:30
1666002560,1,76,2022-10-17 15:59:20+05:30
1666002559,1,76,2022-10-17 15:59:19+05:30
1666002558,1,76,2022-10-17 15:59:18+05:30
1666002557,1,76,2022-10-17 15:59:17+05:30
1666002556,1,76,2022-10-17 15:59:16+05:30
1666002555,1,76,2022-10-17 15:59:15+05:30
1666002554,1,76,2022-10-17 15:59:14+05:30
1666002553,1,76,2022-10-17 15:59:13+05:30
1666002552,1,76,2022-10-17 15:59:12+05:30
1666002551,1,76,2022-10-17 15:59:11+05:30
1666002550,1,76,2022-10-17 15:59:10+05:30
1666002549,1,76,2022-10-17 15:59:09+05:30
1666002548,1,76,2022-10-17 15:59:08+05:30
1666002547,1,76,2022-10-17 15:59:07+05:30
1666002546,1,76,2022-10-17 15:59:06+05:30
1666002545,1,76,2022-10-17 15:59:05+05:30
1666002544,1,76,2022-10-17 15:59:04+05:30
1666002542,1,76,2022-10-17 15:59:02+05:30
1666002541,1,76,2022-10-17 15:59:01+05:30
1666002540,1,76,2022-10-17 15:59:00+05:30
1666002539,1,76,2022-10-17 15:58:59+05:30
1666002538,1,76,2022-10-17 15:58:58+05:30
1666002537,1,76,2022-10-17 15:58:57+05:30
1666002536,1,76,2022-10-17 15:58:56+05:30
1666002535,1,76,2022-10-17 15:58:55+05:30
1666002534,1,76,2022-10-17 15:58:54+05:30
1666002533,1,76,2022-10-17 15:58:53+05:30
1666002532,1,76,2022-10-17 15:58:52+05:30
1666002531,1,76,2022-10-17 15:58:51+05:30
1666002530,1,76,2022-10-17 15:58:50+05:30
1666002529,1,76,2022-10-17 15:58:49+05:30
1666002528,1,76,2022-10-17 15:58:48+05:30
1666002527,1,76,2022-10-17 15:58:47+05:30
1666002526,1,76,2022-10-17 15:58:46+05:30
1666002525,1,76,2022-10-17 15:58:45+05:30
1666002524,1,76,2022-10-17 15:58:44+05:30
1666002523,1,76,2022-10-17 15:58:43+05:30
1666002522,1,76,2022-10-17 15:58:42+05:30
1666002521,1,76,2022-10-17 15:58:41+05:30
1666002520,1,76,2022-10-17 15:58:40+05:30
1666002519,1,76,2022-10-17 15:58:39+05:30
1666002518,1,76,2022-10-17 15:58:38+05:30
1666002517,1,76,2022-10-17 15:58:37+05:30
1666002516,1,76,2022-10-17 15:58:36+05:30
1666002515,1,76,2022-10-17 15:58:35+05:30
1666002514,1,76,2022-10-17 15:58:34+05:30
1666002513,1,76,2022-10-17 15:58:33+05:30
1666002512,1,76,2022-10-17 15:58:32+05:30
